"meta.dst_preferred_org.keyword","meta.src_preferred_org.keyword","Sum"
University of Chicago,Brookhaven National Laboratory,788 Tb
University of Chicago,Renater,761 Tb
University of Chicago,TRIUMF,656 Tb
University of Chicago,University of Texas-Arlington,311 Tb
University of Chicago,Karlsruhe Institute of Technology,308 Tb
Oak Ridge National Laboratory,National Center for Atmospheric Research (NCAR/UCAR),2.74 Pb
Oak Ridge National Laboratory,CALCULQUEBEC,92.9 Tb
Oak Ridge National Laboratory,AMAZON-02,48.5 Tb
Oak Ridge National Laboratory,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,35.2 Tb
Oak Ridge National Laboratory,APPLE-AUSTIN,33.6 Tb
Brookhaven National Laboratory,Renater,915 Tb
Brookhaven National Laboratory,TRIUMF,243 Tb
Brookhaven National Laboratory,ATLAS Great Lakes Tier 2,238 Tb
Brookhaven National Laboratory,University of Chicago,143 Tb
Brookhaven National Laboratory,Consortium GARR,131 Tb
Indiana GigaPOP,University of Chicago,1.57 Pb
Indiana GigaPOP,Fermi National Accelerator Laboratory,274 Tb
Indiana GigaPOP,Vanderbilt University,60.9 Tb
Indiana GigaPOP,University of Wisconsin Madison,4.69 Tb
Indiana GigaPOP,University of Nebraska Lincoln,4.31 Tb
Massachusetts Institute of Technology,Fermi National Accelerator Laboratory,801 Tb
Massachusetts Institute of Technology,Consortium GARR,155 Tb
Massachusetts Institute of Technology,European Organization for Nuclear Research,98.2 Tb
Massachusetts Institute of Technology,University of Nebraska Lincoln,83.0 Tb
Massachusetts Institute of Technology,Deutsches Elektronen-Synchrotron DESY,75.5 Tb

